TABLA DE MORTALIDAD DE RENTISTAS,,,,,
SEXO MASCULINO,,,,,
COLOMBIA (EXPERIENCIA 2005-2008),,,,,
Superbancaria Financiera de Colombia Resoluciï¿½n 1555 de 2010,,,,,
x,lx,ex,dx,qx,px
0,1000000,79.3197,0,0,1
1,1000000,78.3197,0,0,1
2,1000000,77.3197,0,0,1
3,1000000,76.3197,0,0,1
4,1000000,75.3197,0,0,1
5,1000000,74.3197,0,0,1
6,1000000,73.3197,0,0,1
7,1000000,72.3197,0,0,1
8,1000000,71.3197,0,0,1
9,1000000,70.3197,0,0,1
10,1000000,69.3197,0,0,1
11,1000000,68.3197,0,0,1
12,1000000,67.3197,0,0,1
13,1000000,66.3197,0,0,1
14,1000000,65.3197,0,0,1
15,1000000,64.8197,485,0.0005,0.9995
16,999515,63.8509,496,0.0005,0.9995
17,999019,62.8824,509,0.0005,0.9995
18,998510,61.9142,522,0.0005,0.9995
19,997988,60.9463,537,0.0005,0.9995
20,997451,59.9789,553,0.0006,0.9994
21,996898,59.0119,571,0.0006,0.9994
22,996327,58.0454,591,0.0006,0.9994
23,995736,57.0795,612,0.0006,0.9994
24,995124,56.1143,636,0.0006,0.9994
25,994488,55.1499,662,0.0007,0.9993
26,993826,54.1863,690,0.0007,0.9993
27,993136,53.2236,721,0.0007,0.9993
28,992415,52.2619,755,0.0008,0.9992
29,991660,51.3013,792,0.0008,0.9992
30,990868,50.3419,832,0.0008,0.9992
31,990036,49.3838,877,0.0009,0.9991
32,989159,48.4272,926,0.0009,0.9991
33,988233,47.4721,979,0.0010,0.9990
34,987254,46.5186,1038,0.0011,0.9989
35,986216,45.5671,1102,0.0011,0.9989
36,985114,44.6175,1172,0.0012,0.9988
37,983942,43.6700,1249,0.0013,0.9987
38,982693,42.7249,1333,0.0014,0.9986
39,981360,41.7823,1424,0.0015,0.9985
40,979936,40.8423,1525,0.0016,0.9984
41,978411,39.9051,1635,0.0017,0.9983
42,976776,38.9711,1755,0.0018,0.9982
43,975021,38.0403,1886,0.0019,0.9981
44,973135,37.1131,2030,0.0021,0.9979
45,971105,36.1896,2186,0.0023,0.9977
46,968919,35.2702,2358,0.0024,0.9976
47,966561,34.3550,2544,0.0026,0.9974
48,964017,33.4443,2748,0.0029,0.9971
49,961269,32.5385,2971,0.0031,0.9969
50,958298,31.6378,3213,0.0034,0.9966
51,955085,30.7426,3477,0.0036,0.9964
52,951608,29.8531,3765,0.0040,0.9960
53,947843,28.9697,4077,0.0043,0.9957
54,943766,28.0927,4418,0.0047,0.9953
55,939348,27.2224,4744,0.0051,0.9949
56,934604,26.3581,5106,0.0055,0.9945
57,929498,25.5001,5507,0.0059,0.9941
58,923991,24.6491,5952,0.0064,0.9936
59,918039,23.8057,6444,0.0070,0.9930
60,911595,22.9704,6988,0.0077,0.9923
61,904607,22.1440,7588,0.0084,0.9916
62,897019,21.3271,8250,0.0092,0.9908
63,888769,20.5204,9134,0.0103,0.9897
64,879635,19.7283,10078,0.0115,0.9885
65,869557,18.9512,11080,0.0127,0.9873
66,858477,18.1893,12143,0.0141,0.9859
67,846334,17.4431,13265,0.0157,0.9843
68,833069,16.7129,14446,0.0173,0.9827
69,818623,15.9990,15683,0.0192,0.9808
70,802940,15.3017,16972,0.0211,0.9789
71,785968,14.6214,18310,0.0233,0.9767
72,767658,13.9582,19688,0.0256,0.9744
73,747970,13.3124,21098,0.0282,0.9718
74,726872,12.6843,22530,0.0310,0.9690
75,704342,12.0741,23970,0.0340,0.9660
76,680372,11.4818,25402,0.0373,0.9627
77,654970,10.9077,26808,0.0409,0.9591
78,628162,10.3519,28168,0.0448,0.9552
79,599994,9.8144,29456,0.0491,0.9509
80,570538,9.2953,30646,0.0537,0.9463
81,539892,8.7946,31711,0.0587,0.9413
82,508181,8.3122,32619,0.0642,0.9358
83,475562,7.8480,33340,0.0701,0.9299
84,442222,7.4020,33841,0.0765,0.9235
85,408381,6.9739,34093,0.0835,0.9165
86,374288,6.5636,34069,0.0910,0.9090
87,340219,6.1708,33745,0.0992,0.9008
88,306474,5.7952,33103,0.1080,0.8920
89,273371,5.4364,32136,0.1176,0.8824
90,241235,5.0940,30844,0.1279,0.8721
91,210391,4.7675,29239,0.1390,0.8610
92,181152,4.4563,27344,0.1509,0.8491
93,153808,4.1597,25199,0.1638,0.8362
94,128609,3.8767,22851,0.1777,0.8223
95,105758,3.6063,20363,0.1925,0.8075
96,85395,3.3471,17839,0.2089,0.7911
97,67556,3.0989,15350,0.2272,0.7728
98,52206,2.8630,12921,0.2475,0.7525
99,39285,3.3713,10597,0.2697,0.7303
100,28688,3.1379,8433,0.2940,0.7060
101,20255,2.9158,6484,0.3201,0.6799
102,13771,2.7047,4796,0.3483,0.6517
103,8975,2.5042,3395,0.3783,0.6217
104,5580,2.3126,2290,0.4104,0.5896
105,3290,2.1289,1462,0.4444,0.5556
106,1828,1.9498,878,0.4803,0.5197
107,950,1.7688,492,0.5179,0.4821
108,458,1.5673,256,0.5590,0.4410
109,202,1.3094,121,0.5990,0.4010
110,81,0.5000,81,1,0
111,0,,0,,
