TABLA DE MORTALIDAD DE INVALIDOS,,,,,
SEXO MASCULINO,,,,,
COLOMBIA,,,,,
Superbancaria Resoluciï¿½n 0585 de 1994,,,,,
x,lx,ex,dx,qx,px
0,1000000,43.3176,14786.1741,0.0148,0.9852
1,985213.8259,42.9677,14584.5020,0.0148,0.9852
2,970629.3239,42.6133,14386.5283,0.0148,0.9852
3,956242.7956,42.2544,14192.2423,0.0148,0.9852
4,942050.5533,41.8910,14006.6351,0.0149,0.9851
5,928043.9182,41.5233,13809.7006,0.0149,0.9851
6,914234.2176,41.1505,13631.4354,0.0149,0.9851
7,900602.7822,40.7733,13451.8387,0.0149,0.9851
8,887150.9435,40.3916,13275.9125,0.0150,0.9850
9,873875.0310,40.0052,13103.6617,0.0150,0.9850
10,860771.3693,39.6142,12935.0940,0.0150,0.9850
11,847836.2753,39.2186,12770.2204,0.0151,0.9849
12,835066.0549,38.8183,12609.0549,0.0151,0.9849
13,822457,38.4134,12451.6147,0.0151,0.9849
14,810005.3853,38.0040,12297.9203,0.0152,0.9848
15,797707.4650,38.0898,12147.9957,0.0152,0.9848
16,785559.4693,37.6711,12001.8683,0.0153,0.9847
17,773557.6010,37.2479,11859.5691,0.0153,0.9847
18,761698.0318,36.8200,11721.1329,0.0154,0.9846
19,749976.8990,36.3876,11586.5978,0.0154,0.9846
20,738390.3012,35.9508,11456.0061,0.0155,0.9845
21,726934.2951,35.5095,11329.4037,0.0156,0.9844
22,715604.8914,35.0637,11206.8406,0.0157,0.9843
23,704398.0508,34.6136,11088.3703,0.0157,0.9843
24,693309.6805,34.1592,10974.0506,0.0158,0.9842
25,682335.6299,33.7006,10863.9430,0.0159,0.9841
26,671471.6869,33.2377,10758.1127,0.0160,0.9840
27,660713.5742,32.7708,10656.6290,0.0161,0.9839
28,650056.9452,32.2998,10559.5645,0.0162,0.9838
29,639497.3807,31.8249,10466.9955,0.0164,0.9836
30,629030.3852,31.3461,10379.0015,0.0165,0.9835
31,618651.3837,30.8636,10295.6652,0.0166,0.9834
32,608355.7185,30.3775,10217.0717,0.0168,0.9832
33,598138.6467,29.8879,10143.3088,0.0170,0.9830
34,587995.3380,29.3948,10074.4657,0.0171,0.9829
35,577920.8723,28.8985,10010.6332,0.0173,0.9827
36,567910.2392,28.3991,9951.9025,0.0175,0.9825
37,557958.3367,27.8967,9898.3647,0.0177,0.9823
38,548059.9720,27.3915,9850.1095,0.0180,0.9820
39,538209.8625,26.8837,9807.2246,0.0182,0.9818
40,528402.6379,26.3734,9769.7939,0.0185,0.9815
41,518632.8440,25.8608,9737.8965,0.0188,0.9812
42,508894.9475,25.3461,9711.6047,0.0191,0.9809
43,499183.3428,24.8294,9690.9823,0.0194,0.9806
44,489492.3605,24.3111,9676.0823,0.0198,0.9802
45,479816.2782,23.7913,9666.9445,0.0201,0.9799
46,470149.3370,23.2702,9663.5930,0.0206,0.9794
47,460485.7407,22.7480,9666.0327,0.0210,0.9790
48,450819.7080,22.2251,9674.2460,0.0215,0.9785
49,441145.4620,21.7015,9688.1894,0.0220,0.9780
50,431457.2726,21.1776,9707.7887,0.0225,0.9775
51,421749.4839,20.6535,9732.9347,0.0231,0.9769
52,412016.5492,20.1296,9763.4782,0.0237,0.9763
53,402253.0710,19.6060,9799.2244,0.0244,0.9756
54,392453.8466,19.0831,9839.9268,0.0251,0.9749
55,382613.9199,18.5610,9885.2811,0.0258,0.9742
56,372728.6388,18.0400,9934.9184,0.0267,0.9733
57,362793.7204,17.5203,9988.3979,0.0275,0.9725
58,352805.3225,17.0022,10045.1995,0.0285,0.9715
59,342760.1229,16.4858,10104.7164,0.0295,0.9705
60,332655.4065,15.9714,10166.2467,0.0306,0.9694
61,322489.1598,15.4591,10228.9864,0.0317,0.9683
62,312260.1734,14.9492,10292.0214,0.0330,0.9670
63,301968.1520,14.4417,10354.3205,0.0343,0.9657
64,291613.8316,13.9367,10414.7292,0.0357,0.9643
65,281199.1024,13.4343,10471.9645,0.0372,0.9628
66,270727.1378,12.9346,10524.6110,0.0389,0.9611
67,260202.5268,12.4376,10571.1190,0.0406,0.9594
68,249631.4078,11.9431,10609.8054,0.0425,0.9575
69,239021.6024,11.4511,10638.8572,0.0445,0.9555
70,228382.7453,10.9612,10656.3387,0.0467,0.9533
71,217726.4066,10.4732,10873.0335,0.0499,0.9501
72,206853.3731,9.9974,11064.3778,0.0535,0.9465
73,195788.9953,9.5342,11224.8308,0.0573,0.9427
74,184564.1646,9.0836,11348.5659,0.0615,0.9385
75,173215.5987,8.6460,11429.5840,0.0660,0.9340
76,161786.0147,8.2214,11461.8577,0.0708,0.9292
77,150324.1570,7.8102,11439.5118,0.0761,0.9239
78,138884.6452,7.4123,11357.0409,0.0818,0.9182
79,127527.6044,7.0279,11209.5622,0.0879,0.9121
80,116318.0422,6.6570,10993.0982,0.0945,0.9055
81,105324.9440,6.2996,10704.8807,0.1016,0.8984
82,94620.0633,5.9557,10343.6623,0.1093,0.8907
83,84276.4009,5.6253,9910.0171,0.1176,0.8824
84,74366.3839,5.3083,9406.6063,0.1265,0.8735
85,64959.7775,5.0046,8838.3826,0.1361,0.8639
86,56121.3950,4.7140,8212.6999,0.1463,0.8537
87,47908.6950,4.4364,7539.3014,0.1574,0.8426
88,40369.3937,4.1716,6830.1543,0.1692,0.8308
89,33539.2394,3.9193,6099.1156,0.1819,0.8181
90,27440.1238,3.6793,5361.4192,0.1954,0.8046
91,22078.7047,3.4514,4632.9963,0.2098,0.7902
92,17445.7084,3.2351,3929.6625,0.2253,0.7747
93,13516.0459,3.0304,3266.2247,0.2417,0.7583
94,10249.8212,2.8367,2655.5875,0.2591,0.7409
95,7594.2337,2.6538,2107.9473,0.2776,0.7224
96,5486.2864,2.4813,1630.1714,0.2971,0.7029
97,3856.1150,2.3189,1225.4449,0.3178,0.6822
98,2630.6701,2.1662,893.2442,0.3396,0.6604
99,1737.4259,2.0229,629.6519,0.3624,0.6376
100,1107.7740,1.8884,427.9804,0.3863,0.6137
101,679.7936,1.7626,279.6228,0.4113,0.5887
102,400.1708,1.6448,175.0099,0.4373,0.5627
103,225.1610,1.5346,104.5403,0.4643,0.5357
104,120.6207,1.4313,59.3594,0.4921,0.5079
105,61.2612,1.3337,31.8996,0.5207,0.4793
106,29.3616,1.2395,16.1479,0.5500,0.4500
107,13.2138,1.1433,7.6604,0.5797,0.4203
108,5.5534,1.0306,3.3867,0.6098,0.3902
109,2.1667,0.8599,1.3869,0.6401,0.3599
110,0.7798,1.5000,0.7798,1,0
111,0,,0,1,
